OML,Ohm's Law,NULL,NULL
OPT,Operation on rational Number,NULL,NULL
OPU,Operation on Real Number,NULL,NULL
ORV,Ordering in Integers,NULL,NULL
ORW,Organisation of  Data,NULL,NULL
PAA,Parallelograms on the Same base and between the Parallel Lines,NULL,NULL
PAB,Patterns In Whole Numbers,NULL,NULL
PAX,Pair of lines,NULL,NULL
PAY,Pair of linear Equation in Two Variables,NULL,NULL
PAZ,Parallelogram and Its Properties,NULL,NULL
PEC,Perimeter of Closed Figures,NULL,NULL
PED,Perimeter of Regular Shapes,NULL,NULL
PEE,Perpendiculars and Lines through any point,NULL,NULL
PEF,Perpendiculars Bisector of a Line Segment,NULL,NULL
PEG,Percentage,NULL,NULL
PEH,Perpendicular bisector of line and Angle Bisector,NULL,NULL
PEI,Perpendicular to Radius and From an outside point,NULL,NULL
PIC,Pinhole Camera,NULL,NULL
PIF,Pressure in Fluids,NULL,NULL
PIJ,Pictograph,NULL,NULL
PIK,Pie chart OR Circle Graph,NULL,NULL
PIL,Power,NULL,NULL
PLG,Pressure by Liquids and Gases,NULL,NULL
PLL,Plotting a Point in the Plane,NULL,NULL
POF,Production of Sound,NULL,NULL
POM,Polynomials,NULL,NULL
PON,Polynomials in One Variable,NULL,NULL
POO,Powers with Negative Exponents,NULL,NULL
POS,How Sound is Produced,NULL,NULL
POW,Power,NULL,NULL
PRA,Profit and Loss,NULL,NULL
PRB,Properties of Triangle,NULL,NULL
PRC,Properties of Chords of Circle,NULL,NULL
PRD,Proof of Pythagoras Theorem,NULL,NULL
PRE,Pressure,NULL,NULL
PRP,Presentation of Data,NULL,NULL
PRQ,Prime and Composite Numbers,NULL,NULL
PRR,Prime Factorisation ,NULL,NULL
PRS,Prices Related to an Item or Buying and Selling,NULL,NULL
PRT,Properties of Whole Number,NULL,NULL
PRU,Proper and Improper fraction OR Mixed Fraction,NULL,NULL
PRV,Proportion,NULL,NULL
PRW,Properties of Integers,NULL,NULL
PRX,Properties of Parallel lines,NULL,NULL
PRY,Properties of Rational Numbers,NULL,NULL
PRZ,Properties of Square Numbers,NULL,NULL
PSM,Playing with Spherical Mirror,NULL,NULL
PTE,Potential Energy,NULL,NULL
QUE,Word Problems,NULL,NULL
RAF,Ratio,NULL,NULL
RAG,Rational Number on Number Line,NULL,NULL
RAH,Rational Number on Number Line,NULL,NULL
RAI,Ratio and Percentage,NULL,NULL
RAJ,Rational Number and Their Decimal Expansion,NULL,NULL
RBC,Charging by Rubbing,NULL,NULL
RED,Relative Density,NULL,NULL
REK,Real Numbers and Their Decimal Expansion,NULL,NULL
REL,Real Numbers on Number Line,NULL,NULL
REM,Reciprocal of Rational Number,NULL,NULL
REN,Reducing Equations to Simpler Form,NULL,NULL
REO,Reflection and Symmetry,NULL,NULL
REP,Related Angles,NULL,NULL
REQ,Relationship between Zeroes and Coefficient of a Polynomial,NULL,NULL
RER,Remainder Theorem,NULL,NULL
RES,Representing Small Numbers,NULL,NULL
RET,Representation on Graph,NULL,NULL
RFR,Resistance and factors affecting Resistance,NULL,NULL
RGP,Refraction through Glass Prism,NULL,NULL
RGS,Refraction through Glass Slab,NULL,NULL
RIL,Reflection of Light,NULL,NULL
RIU,Right angle Triangle & Pythagoras Property,NULL,NULL
ROF,Refelction of Sound,NULL,NULL
ROL,Reflection of Light,NULL,NULL
ROM,Rate of Motion,NULL,NULL
ROV,Roman Numerals,NULL,NULL
ROW,Rotational Symmetry,NULL,NULL
RRL,Refraction of Light,NULL,NULL
RRR,Laws of Refraction,NULL,NULL
RSL,Refraction by Spherical Lenses,NULL,NULL
RUX,Rules of Variables,NULL,NULL
RVN,Reverberation,NULL,NULL
SAM,Medium and Sound,NULL,NULL
SAY,Sales Tax and Value Added Tax,NULL,NULL
SBH,Sound by Humans,NULL,NULL
